INVALID;0;Invalid
NOTE_OFF;0x80;Note off
NOTE_ON;0x90;Note on
NOTE_PRESSURE;0xA0;Note pressure
CONTROLLER;0xB0;Controller
PGM_CHANGE;0xC0;Program change
CHANNEL_PRESSURE;0xD0;Channel pressure
PITCH_BEND;0xE0;Pitch bend
SYSTEM_BEGIN;0xF0;Begin system exclusive message
MTC_QUARTER;0xF1;MIDI time code
SONG_POSITION;0xF2;Song position
SONG_SELECT;0xF3;Song select
TUNE_REQUEST;0xF6;Tune request
SYSEX_END;0xF7;END system exclusive message
CLOCK;0xF8;Synchronization message
START;0xFA;Playback start
CONTINUE;0xFB;Playback continue
STOP;0xFC;Playback stop
ACTIVE_SENSE;0xFE;Stay alive message
RESET;0xFF;System reset
